CB,Nombre,Charola,Posicion en Charola,Cantidad de Frentes,Altura,Ancho,Profundo,Image,Nombre_limpio_azure
7501050000000.0,Atun Dolores aceite 295gr lata,1,1,1,5.00 cm,10.00 cm,2.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Atun Dolores aceite 295gr lata.png,atun dolores aceite 295 gramos lata
7501050000000.0,ATUN DOLORES EN ACEITE 130GRS,1,2,1,3.30 cm,8.50 cm,8.50 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\ATUN DOLORES EN ACEITE 130GRS.png,Atún Dolores en Aceite 130 gramos
7501050000000.0,Atun Mazatun Agua Sin Soya 130grs,1,3,1,3.39 cm,8.57 cm,2.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Atun Mazatun Agua Sin Soya 130grs.png,atun mazatun agua sin soya 130 gramos
7501050000000.0,DOLORES ENSALADA CON VERDURAS MAXI CUP CAN 240gr,1,4,1,4.30 cm,10.10 cm,2.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\DOLORES ENSALADA CON VERDURAS MAXI CUP CAN 240gr.png,dolores ensalada con verduras maxi cup can 240 gramos
7501050000000.0,Dolores SURFY  Cup Can Elotitos 24/ 135 gr,1,5,1,4.60 cm,8.73 cm,2.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Dolores SURFY  Cup Can Elotitos 24 135 gr.png,dolores surfy cup can elotitos 24/ 135 gramos
7501050000000.0,Ensalada Atun Mazatun  CupCan,1,6,1,4.70 cm,8.90 cm,2.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Ensalada Atun Mazatun  CupCan.png,ensalada atun mazatun cup can
7501950000000.0,Papel aluminio festivo rollo 76 m X 30 cm pz,1,7,1,31.50 cm,5.00 cm,5.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Papel aluminio festivo rollo 76 m X 30 cm pz.png,papel aluminio festivo rollo 76 metros x 30 centímetros pieza
7502270000000.0,PLC NUTRALAT FORTE 1.5 LT,2,1,1,24.50 cm,9.00 cm,2.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\PLC NUTRALAT FORTE 1.5 LT.png,plc nutralat forte 1.5 litros
7501950000000.0,PLC NUTRALAT FORTE 1LT,2,2,1,16.70 cm,10.00 cm,6.30 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\PLC NUTRALAT FORTE 1LT.png,plc nutralat forte 1 litro
7501060000000.0,La Lechera Sirve Facil 335gr Bote,2,3,1,14.50 cm,7.50 cm,2.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\La Lechera Sirve Facil 335gr Bote.png,la lechera sirve facil 335 gramos bote
7501060000000.0,CARNATION Leche Evaporada 720g,2,4,1,16.60 cm,7.40 cm,2.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\CARNATION Leche Evaporada 720g.png,carnation leche evaporada 720 gramos
7502270000000.0,Azucar Estandar La Posada 1 kg,2,5,1,13.50 cm,22.50 cm,3.50 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Azucar Estandar La Posada 1 kg.png,azucar estandar la posada 1 kilo
7501950000000.0,Arroz La Posada 900 gr,2,6,1,15.50 cm,27.75 cm,3.50 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Arroz La Posada 900 gr.png,arroz la posada 900 gramos
7502290000000.0,CAFE SOLUBLE ANDATTI DESCAFEINADO 275G,3,1,1,21.20 cm,8.80 cm,10.10 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\CAFE SOLUBLE ANDATTI DESCAFEINADO 275G.png,café soluble andatti descafeinado 275 gramos
7502270000000.0,Cafe Soluble Andatti 275g,3,2,1,21.00 cm,9.80 cm,2.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Cafe Soluble Andatti 275g.png,cafe soluble andatti 275 gramos
